SOLN:IN20:121:BCTRL,0.377, 0.498
QUAD:IN20:121:BCTRL,-0.021, 0.021
QUAD:IN20:122:BCTRL,-0.021, 0.021
QUAD:IN20:361:BCTRL,-4.32,-1.08 
QUAD:IN20:371:BCTRL, 1.09, 4.31 
QUAD:IN20:425:BCTRL, -7.56, -1.08
QUAD:IN20:441:BCTRL, -1.08, 7.56
QUAD:IN20:511:BCTRL, -1.08, 7.56
QUAD:IN20:525:BCTRL, -7.56, -1.08
QUAD:LI26:201:BCTRL, 10.2, 12.3
QUAD:LI26:301:BCTRL, -12.5, -5.7
QUAD:LI26:401:BCTRL, 8.8, 12.2
QUAD:LI26:501:BCTRL, -4.5, -3.7
QUAD:LI26:601:BCTRL, 11.2, 12.8
QUAD:LI26:701:BCTRL, -14.5, -13.0
QUAD:LI26:801:BCTRL, 12.2, 14.1
QUAD:LI26:901:BCTRL, -10.0, -6.8
